OID_,Value,Count,shawn_ltas_r,LC16_BPS_200,LC20_EVT_220,MAP_UNIT_S,MAP_UNIT_N,CONCEPT,FORESTNAME,BPS_MODEL,BPS_NAME,FRI_REPLAC,FRI_MIXED,FRI_SURFAC,FRI_ALLFIR,EVT_NAME,EVT_PHYS,EVT_GP_N
48,48,1789.000000000000000,10,2020,7321,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13140_49,North-Central Interior Maple-Basswood Forest,1030,NA,845,464,South-Central Interior Mesophytic Forest,Hardwood,Beech-Maple-Basswood Forest
49,49,20.000000000000000,10,2029,7978,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,14210_49_52,Central Tallgrass Prairie,4,NA,NA,4,Eastern Cool Temperate Wheat,Agricultural,Agricultural-Wheat
50,50,92.000000000000000,10,2017,7311,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13100_49,North-Central Interior Dry-Mesic Oak Forest and Woodland,75,47,23,13,North-Central Interior Dry Oak Forest and Woodland,Hardwood,Black Oak Woodland and Savanna
51,51,182.000000000000000,10,2020,7364,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13140_49,North-Central Interior Maple-Basswood Forest,1030,NA,845,464,Ozark-Ouachita Dry Oak Woodland,Hardwood,Post Oak Woodland and Savanna
52,52,80.000000000000000,10,2029,7909,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,14210_49_52,Central Tallgrass Prairie,4,NA,NA,4,Eastern Cool Temperate Urban Shrubland,Developed,Developed-Upland Shrubland
53,53,21.000000000000000,10,2029,7975,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,14210_49_52,Central Tallgrass Prairie,4,NA,NA,4,Eastern Cool Temperate Close Grown Crop,Agricultural,Agricultural-Close Grown Crop
54,54,50.000000000000000,10,2029,7908,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,14210_49_52,Central Tallgrass Prairie,4,NA,NA,4,Eastern Cool Temperate Urban Herbaceous,Developed,Developed-Upland Herbaceous
55,55,1406.000000000000000,10,2017,7905,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13100_49,North-Central Interior Dry-Mesic Oak Forest and Woodland,75,47,23,13,Eastern Cool Temperate Urban Deciduous Forest,Developed,Developed-Upland Deciduous Forest
56,56,94.000000000000000,10,2017,7297,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13100_49,North-Central Interior Dry-Mesic Oak Forest and Woodland,75,47,23,13,Developed-Medium Intensity,Developed-Medium Intensity,Developed-Medium Intensity
57,57,331.000000000000000,10,2017,7296,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13100_49,North-Central Interior Dry-Mesic Oak Forest and Woodland,75,47,23,13,Developed-Low Intensity,Developed-Low Intensity,Developed-Low Intensity
